"id","text","enthusiastic","ssml"
"0","Turning on.","I'm powered up and ready to start working with you! Let's get cracking!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I'm powered up and ready to start working with you! Let's get cracking!</prosody></voice></speak>"
"1","Waiting for the network setup.","Just a moment! I'm getting everything ready for you—we are almost there!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Just a moment! I'm getting everything ready for you—we are almost there!</prosody></voice></speak>"
"2","Unable to connect to the Wi-Fi network. Please check the Wi-Fi password and try again.","Oh no! I couldn't connect to the Wi-Fi. Please double-check the password and let's try that again!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Oh no! I couldn't connect to the Wi-Fi. Please double-check the password and let's try that again!</prosody></voice></speak>"
"3","Unable to connect to the Wi-Fi network. Please check your local network and try again.","Oops! I'm having trouble connecting to the network. Please check your local connection and let's try again!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Oops! I'm having trouble connecting to the network. Please check your local connection and let's try again!</prosody></voice></speak>"
"4","I've left the network setup mode","I've left network setup mode. Let me know when you're ready to try again!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I've left network setup mode. Let me know when you're ready to try again!</prosody></voice></speak>"
"5","Network connected, successfully.","Hooray! The network is connected successfully. I'm ready for action!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05""><emphasis level=""moderate"">Hooray!</emphasis> The network is connected successfully. I'm ready for action!</prosody></voice></speak>"
"6","Unable to connect to network, please try again.","I couldn't reach the network just yet. Please give it another try!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I couldn't reach the network just yet. Please give it another try!</prosody></voice></speak>"
"7","I'm starting the cleanup.","Right then! Let's get this place ship-shape!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Right then! Let's get this place <emphasis level=""moderate"">ship-shape!</emphasis></prosody></voice></speak>"
"8","I'm starting the partial cleanup.","Let's get this area sparkling! Starting the partial cleanup.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Let's get this area <emphasis level=""moderate"">sparkling!</emphasis> Starting the partial cleanup.</prosody></voice></speak>"
"9","I'm starting the scheduled cleanup.","It's that time! I'm beginning your scheduled cleanup now.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">It's that time! I'm beginning your scheduled cleanup now.</prosody></voice></speak>"
"10","I'm resuming the cleanup.","I'm back! Resuming the cleanup exactly where I left off.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">I'm back! Resuming the cleanup exactly where I left off.</prosody></voice></speak>"
"11","Cleanup paused.","Cleanup is paused. I'll be right here whenever you're ready!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Cleanup is paused. I'll be right here whenever you're ready!</prosody></voice></speak>"
"12","Cleanup completed.","Job's a good 'un! Everything looks absolutely brilliant!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Job's a good 'un! Everything looks absolutely <emphasis level=""moderate"">brilliant!</emphasis></prosody></voice></speak>"
"13","Returning to the dock to charge.","Great job today! I'm heading back to my dock to recharge.","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">Great job today! I'm heading back to my dock to recharge.</prosody></voice></speak>"
"14","Low battery. I'll return to the dock to charge. Once the battery is fully charged, I'll continue the cleanup.","My battery is getting a little low, so I’m heading to the dock for a quick power nap. I'll finish the job as soon as I'm charged up!","<speak><voice name=""en-GB-Chirp3-HD-Leda""><prosody pitch=""+2st"" rate=""1.05"">My battery is getting a little low, so I’m heading to the dock for a quick power nap. I'll finish the job as soon as I'm charged up!</prosody></voice></speak>"
